Кот в сапогах 2: Последнее желание,"анимация, комедия, приключения","2022, США",9.2
Король Лев,"мюзикл, приключения, драма, семейный, комедия, анимация","1994, США",8.9
Ван-Пис: Красный,"боевик, приключения, анимация","2022, Япония",8.8
Как приручить дракона 3,"анимация, семейный, комедия, приключения","2018, США",8.8
Зверопой 2,"анимация, мюзикл","2021, США",8.8
Истребитель демонов: Поезд «Бесконечный»,"боевик, приключения, анимация","2020, Япония",8.7
"Ну, погоди!","короткометражный, анимация","1969, СССР",8.7
101 далматинец,"семейный, приключения, анимация","1961, США",8.7
Унесенные призраками,"аниме , семейный, анимация, приключения","2001, Япония",8.7
Душа,"анимация, семейный, приключения, комедия","2020, США",8.6
Тайна Коко,"анимация, приключения","2017, США",8.6
Твое имя,"анимация, фэнтези, мелодрама, аниме ","2016, Япония",8.6
ВАЛЛ-И,"семейный, фэнтези, анимация","2008, США",8.6
Холодное сердце 2,"анимация, семейный, детский","2019, США",8.6
Ледниковый период,"комедия, приключения, анимация, семейный","2002, США",8.5
Рапунцель: Запутанная История,"семейный, мюзикл, анимация, комедия","2010, США",8.5
Холодное сердце,"приключения, анимация, семейный","2013, США",8.5
Эверест,анимация,"2019, США",8.5
Как приручить дракона,"анимация, семейный, сказка","2010, США",8.5
Шрэк,"анимация, семейный, комедия","2001, США",8.5
Зверополис,"анимация, боевик, приключения, семейный, комедия","2016, США",8.5
Лука,"анимация, приключения, фэнтези","2021, США",8.4
Зов предков,"приключения, анимация, семейный","2020, США",8.4
Красавица и чудовище,"сказка, мелодрама, мюзикл, семейный, анимация","1991, США",8.4
Райя и последний дракон,анимация,"2021, США",8.4
Кунг-Фу Панда,"комедия, анимация","2008, США",8.4
Пес-самурай и город кошек,"боевик, анимация, комедия","2022, Великобритания / Китай / США",8.4
Ее заветное желание,"анимация, драма, мелодрама","2020, Япония",8.4
Три богатыря и шамаханская царица,"сказка, анимация","2010, Россия",8.3
Аладдин,"сказка, мюзикл, семейный, анимация, комедия, приключения","1992, США",8.3
Энканто,"приключения, анимация, комедия","2021, США / Колумбия",8.3
Рататуй,"комедия, семейный, анимация","2007, США",8.3
Шрэк 2,"сказка, комедия, анимация, приключения, семейный","2004, США",8.3
Ральф,анимация,"2012, США",8.3
Мулан,"семейный, анимация","1998, США",8.3
Анастасия,"анимация, сказка, драма, мюзикл, семейный, приключения","1997, США",8.3
Ледниковый период 3: Эра динозавров,"приключения, анимация, семейный, комедия","2009, США",8.3
Тайна третьей планеты,"анимация, приключения, семейный, фантастика","1981, СССР",8.3
Университет монстров,"комедия, семейный, фэнтези, приключения, анимация","2013, США",8.3
Корпорация Монстров,"семейный, сказка, комедия, анимация","2001, США",8.3
Миньоны: Грювитация,"анимация, фантастика, приключения, комедия, семейный","2022, США / Франция / Япония",8.2
Камуфляж и шпионаж,"анимация, фантастика, семейный","2019, США",8.2
Алеша Попович и Тугарин Змей,"семейный, сказка, анимация","2004, Россия",8.2
Рио,"комедия, семейный, анимация, приключения","2011, США",8.2
Моана,анимация,"2016, США",8.2
Волк и теленок,"семейный, анимация, сказка","1984, СССР",8.2
Проза бродячих псов. Фильм,"анимация, аниме ","2018, Япония",8.2
Вайолет Эвергарден. Фильм,"анимация, драма, фэнтези","2020, Япония",8.2
Мадагаскар 2,"сказка, семейный, анимация, комедия, приключения","2008, США",8.2
Вольт,"анимация, комедия, семейный","2008, США",8.2
Дитя погоды,"аниме , мелодрама, анимация, фэнтези","2019, Япония",8.2
Ледниковый период 4: Континентальный дрейф,"комедия, анимация, семейный, приключения","2012, США",8.2
Ральф против интернета,"анимация, комедия, фантастика, приключения, семейный","2018, США",8.2
Человек-паук: Через вселенные,"анимация, приключения, фантастика","2018, США",8.2
Мегамозг,"комедия, семейный, анимация","2010, США",8.2
Мадагаскар 3,"анимация, семейный","2012, США",8.1
Добрыня Никитич и Змей Горыныч,"сказка, комедия, анимация, семейный, приключения","2006, Россия",8.1
Укрась прощальное утро цветами обещания,"анимация, драма, приключения, аниме ","2018, Япония",8.1
Динозавр,"семейный, приключения, анимация","2000, США",8.1
Ледниковый период 2: Глобальное потепление,"комедия, семейный, анимация","2006, США",8.1
Суперсемейка 2,"анимация, детский","2018, США",8.1
Гадкий я,"семейный, анимация","2010, США",8.1
Вперёд,"анимация, семейный, приключения, комедия, фэнтези","2019, США",8.1
Кунг-Фу Панда 2,"комедия, анимация","2011, США",8.1
Принцесса Мононоке,"аниме , сказка, приключения, анимация, триллер, драма","1997, Япония",8.1
Город героев,"комедия, боевик, анимация, семейный","2014, США",8.1
Семейка Крудс,"анимация, комедия, приключения, семейный","2013, США",8.1
Храбрая сердцем,"семейный, анимация","2012, США",8.1
Три кота и море приключений,"анимация, приключения","2022, Россия",8.1
Балерина,"анимация, семейный","2017, Франция / Канада",8.1
Шрэк навсегда,"сказка, приключения, семейный, анимация, комедия","2010, США",8.1
Фердинанд,анимация,"2017, США",8.1
Гадкий я 3,"приключения, комедия, анимация","2017, США",8.1
Тайная жизнь домашних животных 2,"анимация, комедия","2019, США",8.1
Спирит: Душа прерий,"вестерн, анимация, приключения, семейный","2002, США",8.1
Монстры на каникулах 3: Море зовет,"анимация, семейный, комедия","2018, США",8.0
Кот в сапогах,"фэнтези, комедия, анимация, приключения","2011, США",8.0
Босс-молокосос 2,анимация,"2021, США",8.0
Небесный замок Лапута,"сказка, анимация, семейный, приключения, аниме ","1986, Япония",8.0
Большой красный пес Клиффорд,"анимация, семейный","2021, США",8.0
Семейка Аддамс: Горящий тур,"анимация, ужасы, комедия, семейный","2021, США / Великобритания / Канада",8.0
Труп невесты,"анимация, сказка","2005, США",8.0
Заколдованный мальчик,"семейный, анимация","1955, СССР",8.0
Гринч,анимация,"2018, США",7.9
Ранго,"семейный, приключения, анимация","2011, США",7.9
Как приручить дракона 2,"комедия, фэнтези, анимация, боевик, приключения","2014, США",7.9
Монстры на каникулах,"комедия, анимация, семейный","2012, США",7.9
Рождественская история,"драма, фэнтези, анимация, семейный","2009, США",7.9
Навсикая из долины Ветров,"фантастика, аниме , приключения, драма, анимация","1984, Япония",7.9
Хранители снов,"семейный, анимация, приключения","2012, США",7.8
История игрушек: Большой побег,"драма, приключения, комедия, анимация, семейный","2010, США",7.8
Мой сосед Тоторо,"аниме , сказка, семейный, анимация","1988, Япония",7.8
Илья Муромец и Соловей Разбойник,"приключения, комедия, семейный, анимация","2007, Россия",7.8
Красавица и дракон,"приключения, анимация, драма","2021, Япония",7.8
Вайолет Эвергарден. Вечность и призрак пера,"анимация, аниме ","2019, Япония",7.8
Смешарики. Начало,"анимация, детский","2011, Россия",7.8
Тачки 3,"детский, анимация, приключения","2017, США",7.8
Гадкий я 2,"анимация, семейный","2013, США",7.8
Angry Birds 2 в кино,"анимация, детский","2019, США",7.8
Кролик Питер,"анимация, семейный, детский","2018, США",7.8
