Ходячий замок,"аниме , сказка, фантастика, мелодрама","2004, Япония",8.9
Унесенные призраками,"аниме , семейный, анимация, приключения","2001, Япония",8.7
Твое имя,"анимация, фэнтези, мелодрама, аниме ","2016, Япония",8.6
Проза бродячих псов. Фильм,"анимация, аниме ","2018, Япония",8.2
Дитя погоды,"аниме , мелодрама, анимация, фэнтези","2019, Япония",8.2
Воспоминания о Марни,"аниме , драма, фэнтези","2014, Япония",8.1
Укрась прощальное утро цветами обещания,"анимация, драма, приключения, аниме ","2018, Япония",8.1
Принцесса Мононоке,"аниме , сказка, приключения, анимация, триллер, драма","1997, Япония",8.1
Небесный замок Лапута,"сказка, анимация, семейный, приключения, аниме ","1986, Япония",8.0
Навсикая из долины Ветров,"фантастика, аниме , приключения, драма, анимация","1984, Япония",7.9
Мой сосед Тоторо,"аниме , сказка, семейный, анимация","1988, Япония",7.8
Вайолет Эвергарден. Вечность и призрак пера,"анимация, аниме ","2019, Япония",7.8
Ветер крепчает,"драма, анимация, аниме ","2013, Япония",7.8
Мирай из будущего,"анимация, фэнтези, аниме ","2018, Япония",7.7
Мэри и ведьмин цветок,"анимация, приключения, аниме ","2017, Япония",7.7
Рыбка Поньо на утесе,"анимация, семейный, приключения, аниме ","2008, Япония",7.7
Ведьмина служба доставки,"приключения, комедия, сказка, семейный, анимация, аниме ","1989, Япония",7.6
Дети моря,"анимация, аниме ","2019, Япония",7.5
Код Гиас: Лелуш воскресший,"аниме , анимация, боевик, фэнтези","2019, Япония",7.4
Наруто: Последний фильм,"анимация, фэнтези, боевик, аниме ","2014, Япония",7.4
Промар,аниме ,"2019, Япония",7.1
