А зори здесь тихие,"исторический, драма, военный","1972, СССР",8.8
Храброе сердце,"военный, биография, боевик, драма","1995, США",8.6
Небо,"военный, драма","2020, Россия",8.5
По соображениям совести,"военный, драма, биография","2016, США",8.3
Брестская крепость,"драма, военный","2010, Россия / Беларусь",8.3
Т-34,"военный, боевик, приключения","2018, Россия",8.2
28 панфиловцев,"военный, драма","2016, Россия",8.2
Список Шиндлера,"исторический, военный, драма, биография","1993, США",8.1
Лучшие в аду,военный,"2022, Россия",8.1
Команда А,"боевик, триллер, военный","2010, США",8.1
Малена,"военный, драма, мелодрама","2000, Италия / США",8.1
Ржев,"военный, драма","2019, Россия",8.0
Чтец,"мелодрама, исторический, военный, драма, триллер","2008, США / Германия",8.0
Турецкий гамбит,"криминал, исторический, приключения, военный","2005, Россия",8.0
Подольские курсанты,"военный, исторический, драма","2020, Россия",7.9
9 рота,"драма, военный","2005, Россия / Финляндия / Украина",7.9
Патриот,"драма, военный, боевик","2000, Германия / США",7.9
Спасти рядового Райана,"боевик, военный, драма","1998, США",7.9
А зори здесь тихие...,"военный, драма, исторический","2015, Россия",7.9
Последний самурай,"приключения, боевик, военный, драма","2003, США",7.9
Царство небесное,"мелодрама, военный, драма","2005, Испания / США",7.9
Балканский рубеж,"боевик, драма, военный","2019, Россия / Сербия",7.8
9,"анимация, военный, фантастика, приключения","2009, США",7.8
Легенды осени,"драма, военный, вестерн","1994, США",7.8
Летчик,"военный, биография, драма, исторический","2021, Россия",7.8
Сестренка,"военный, драма","2019, Россия",7.8
Калашников,"военный, исторический","2020, Россия",7.7
Не брать живым,"драма, военный","2009, США / Великобритания",7.6
Девятаев,"военный, биография","2021, Россия",7.6
Дюнкерк,"драма, военный, исторический","2017, США / Великобритания / Франция",7.6
1917,"военный, драма","2019, Великобритания / США",7.6
Бесславные ублюдки,"драма, военный, приключения, боевик","2009, Германия / США",7.5
Жена смотрителя зоопарка,"драма, биография, военный","2016, США",7.5
Боевой конь,военный,"2011, США",7.5
Собибор,"военный, драма","2018, Россия",7.5
Дорогой Джон,"военный, драма, мелодрама","2009, США",7.5
Слуга государев,"боевик, военный, исторический","2007, Россия",7.3
Тихая застава,"драма, военный","2010, Россия",7.3
Битва за Севастополь,"военный, мелодрама, боевик","2015, Россия / Украина",7.3
Летят журавли,"мелодрама, военный, драма","1957, СССР",7.3
Австралия,"драма, вестерн, военный, приключения","2008, США / Австралия",7.3
Форма воды,"военный, мистика","2017, США",7.3
Первый Оскар,"драма, исторический, военный","2022, Россия",7.2
Мы из будущего,"фантастика, исторический, приключения, военный","2008, Россия",7.2
Несокрушимый,"военный, драма","2018, Россия",7.1
Восемь сотен,"военный, драма","2020, Китай",7.1
Бесславные ублюдки (реж. версия),"военный, драма, приключения, боевик","2009, Германия / США",7.1
Ярость,"военный, боевик, драма","2014, Великобритания",7.0
Повелитель стихий,"приключения, фантастика, семейный, военный","2010, США",7.0
Август. Восьмого,"драма, военный","2012, Россия",7.0
Операция «Мясной фарш»,"драма, военный","2022, США / Великобритания",7.0
Александр,"драма, приключения, военный","2004, США / Германия / Франция",6.8
Батальонъ,"военный, мелодрама, исторический, драма","2014, Россия",6.8
Три дня до весны,"драма, военный, детектив","2017, Россия",6.8
Герой,"военный, драма","2016, Россия",6.3
Двойная петля,"боевик, драма, военный","2022, США",6.3
Король Артур,"драма, боевик, военный, приключения","2004, США / Великобритания / Ирландия",6.2
Белый тигр,военный,"2012, Россия",6.2
Чужой против хищника,"боевик, ужасы, приключения, фантастика, триллер, военный","2004, США / Канада / Германия / Греция / Великобритания",6.2
Братство,"военный, драма","2019, Россия",5.8
Шпион,"военный, криминал, приключения","2012, Россия",5.7
Танки,"биография, военный, исторический","2018, Россия",5.6
Утомленные солнцем 2: Цитадель,"драма, исторический, военный","2010, Россия / Германия / Франция",5.4
Сталинград,"драма, военный","2013, Россия",4.8
На Париж,"военный, драма","2018, Россия",3.8
