Достать ножи,"детектив, драма, криминал, комедия","2019, США",8.5
12 стульев,"комедия, детектив","1976, СССР",8.4
Место встречи изменить нельзя,"криминал, детектив, боевик","1979, СССР",8.3
Смерть на Ниле,"детектив, криминал, драма","2022, США / Великобритания",8.2
Игры разумов,"драма, детектив, биография","2018, Ирландия",8.1
Невидимый гость,"криминал, триллер, детектив","2017, Испания",8.1
Достать ножи 2: Стеклянная луковица,"детектив, криминал","2022, США",8.0
Шерлок: Безобразная невеста,детектив,"2016, Великобритания",7.9
Простая просьба,"триллер, криминал, детектив","2018, США",7.8
Джек Ричер,"триллер, детектив","2012, США",7.8
Покемон. Детектив Пикачу,"детектив, комедия","2019, США",7.6
Контрибуция,"исторический, детектив","2016, Россия",7.6
Счастливого дня смерти,"ужасы, триллер, детектив","2017, США",7.6
Ночные игры,"комедия, детектив","2018, США",7.5
Оно,"детектив, ужасы","2014, США",7.5
Бегущий в лабиринте,"триллер, детектив, фантастика","2014, США",7.5
Стикер,"мелодрама, детектив","2022, Россия",7.5
Убийство в Восточном экспрессе,"детектив, триллер","2017, США",7.5
Матрица времени,"драма, детектив","2016, США",7.5
Аллея кошмаров,"триллер, драма, детектив","2021, США",7.4
Я иду искать,"ужасы, триллер, детектив","2019, США",7.4
"Прежде, чем я усну","триллер, детектив","2014, Великобритания",7.4
Девушка в поезде,"детектив, триллер","2016, США",7.3
Патруль,"детектив, драма, триллер, криминал","2012, США",7.3
Прочь,"ужасы, детектив","2017, США",7.3
Наркокурьер,"детектив, криминал, драма","2019, США",7.2
Голос из камня,"драма, триллер, детектив, мистика","2017, США",7.1
Джек Ричер 2: Никогда не возвращайся,"драма, детектив, боевик, криминал, триллер","2016, США",7.1
Счастливого нового дня смерти,"ужасы, детектив, триллер","2019, США",7.1
Девятая,"триллер, драма, боевик, детектив","2019, Россия",7.0
Пропавшая,"триллер, боевик, детектив","2022, США",6.9
Лекарство от здоровья,"драма, ужасы, детектив, триллер","2016, США",6.9
Три дня до весны,"драма, военный, детектив","2017, Россия",6.8
Тебя никогда здесь не было,"триллер, драма, детектив","2017, США / Франция",6.7
"Девушка, которая застряла в паутине","детектив, триллер","2018, США",6.5
Субурбикон,"комедия, криминал, детектив","2017, США",6.1
Заклятье: 13-й этаж,"драма, ужасы, детектив","2022, Индонезия",5.8
Вечеринка на вылет,"комедия, детектив","2022, Франция",5.7
Холмс & Ватсон,"детектив, комедия, приключения","2019, США",3.5
