Майкл Джексон: Вот и все,"документальный, мюзикл","2009, США",8.3
"Где ты, Адам?",документальный,"2019, Россия",8.0
Петр I: Последний царь и первый император,"исторический, документальный","2022, Россия",8.0
BTS: Love Yourself Tour in Seoul,"документальный, мюзикл","2018, Корея",8.0
Lil Peep: Всё для всех,документальный,"2019, США",7.9
Океаны,"драма, документальный","2009, Франция / Швейцария / Испания / Монако",7.9
Чудаки 3D,"документальный, комедия","2010, США",7.8
Большое путешествие вглубь океанов 3D: Возвращение,документальный,"2009, Германия / Великобритания / Австрия",7.7
Шестое чувство,"документальный, мистика, триллер","1999, США",7.6
BTS: Bring The Soul. The movie,"документальный, мюзикл","2019, Корея",7.6
Город Кошек,документальный,"2016, США / Турция",7.5
Большое путешествие вглубь океанов 3D,документальный,"2009, Великобритания",7.3
Путешествие времени,"документальный, фантастика","2016, США / Франция / Германия",7.0
Самсара,документальный,"2011, США",6.5
Несносный дед,"комедия, документальный","2013, США",6.3
Тайны подводного мира 3D,"документальный, короткометражный","2006, Канада / США",5.9
